,mutant,strain,videoname,start_time,peak_time
498,ECF,MXAN_4949,ECF sigma-70 factor--MXAN_4949--MXAN_4949-mic4-4.30.13,460,1390
499,ECF,MXAN_4949,ECF sigma-70 factor--MXAN_4949--MXAN_4949-mic5-4.30.13,320,1290
500,ECF,MXAN_4949,ECF sigma-70 factor--MXAN_4949--MXAN_4949-mic7-4.30.13,370,1200
501,ECF,MXAN_4949,ECF sigma-70 factor--MXAN_4949--test,300,1180
502,ECF,MXAN_4987,ECF sigma-70 factor--MXAN_4987--MXAN_4987-mic2-12.01.11,340,530
503,ECF,MXAN_4987,ECF sigma-70 factor--MXAN_4987--MXAN_4987-mic4-12.01.11,370,570
504,ECF,MXAN_4987,ECF sigma-70 factor--MXAN_4987--MXAN_4987-mic5-12.01.11,330,490
505,ECF,MXAN_4987,ECF sigma-70 factor--MXAN_4987--MXAN_4987-mic7-12.01.11,380,780
506,ECF,MXAN_4987,ECF sigma-70 factor--MXAN_4987--test,150,650
507,ECF,MXAN_5101,ECF sigma-70 factor--MXAN_5101(NOT IN THE LIST OF ECF)--MXAN_5101-mic6-12.19.11,320,510
508,ECF,MXAN_5101,ECF sigma-70 factor--MXAN_5101(NOT IN THE LIST OF ECF)--MXAN_5101-mic7-12.19.11,290,460
509,ECF,MXAN_5101,ECF sigma-70 factor--MXAN_5101(NOT IN THE LIST OF ECF)--MXAN_5101-mic8-12.19.11,400,610
510,ECF,MXAN_5101,ECF sigma-70 factor--MXAN_5101(NOT IN THE LIST OF ECF)--test,300,620
512,ECF,MXAN_5245,ECF sigma-70 factor--MXAN_5245--MXAN_5245-mic2-1.8.17,0,1400
513,ECF,MXAN_5245,ECF sigma-70 factor--MXAN_5245--MXAN_5245-mic3-1.8.17,0,670
514,ECF,MXAN_5245,ECF sigma-70 factor--MXAN_5245--test,0,1290
516,ECF,MXAN_5263,ECF sigma-70 factor--MXAN_5263--MXAN_5263-mic6-11.01.16,0,1350
518,ECF,MXAN_5410,ECF sigma-70 factor--MXAN_5410--MXAN_5410-mic6-11.16.11,270,420
519,ECF,MXAN_5410,ECF sigma-70 factor--MXAN_5410--MXAN_5410-mic8-11.16.11,370,600
520,ECF,MXAN_5410,ECF sigma-70 factor--MXAN_5410--test,290,460
521,ECF,MXAN_5506,ECF sigma-70 factor--MXAN_5506--MXAN_5506-mic4-11.16.11,460,700
522,ECF,MXAN_5506,ECF sigma-70 factor--MXAN_5506--MXAN_5506-mic7-11.16.11,220,370
523,ECF,MXAN_5506,ECF sigma-70 factor--MXAN_5506--test,270,390
527,ECF,MXAN_5731,ECF sigma-70 factor--MXAN_5731--MXAN_5731-mic7-6.8.11,340,560
530,ECF,MXAN_5731,ECF sigma-70 factor--MXAN_5731--test,320,960
531,ECF,MXAN_6058,ECF sigma-70 factor--MXAN_6058--MXAN_6058-mic3-4.2.13,600,1080
532,ECF,MXAN_6058,ECF sigma-70 factor--MXAN_6058--MXAN_6058-mic3-5.9.13,480,990
533,ECF,MXAN_6058,ECF sigma-70 factor--MXAN_6058--MXAN_6058-mic5-4.2.13,450,1150
534,ECF,MXAN_6058,ECF sigma-70 factor--MXAN_6058--MXAN_6058-mic6-5.9.13,270,620
535,ECF,MXAN_6058,ECF sigma-70 factor--MXAN_6058--MXAN_6058-mic7-4.2.13,320,840
536,ECF,MXAN_6058,ECF sigma-70 factor--MXAN_6058--MXAN_6058-mic8-5.9.13,310,960
537,ECF,MXAN_6058,ECF sigma-70 factor--MXAN_6058--test,380,830
538,ECF,MXAN_6461,ECF sigma-70 factor--MXAN_6461--MXAN_6461-mic4-11.30.11,330,360
539,ECF,MXAN_6461,ECF sigma-70 factor--MXAN_6461--MXAN_6461-mic5-11.30.11,300,330
540,ECF,MXAN_6461,ECF sigma-70 factor--MXAN_6461--MXAN_6461-mic7-11.30.11,320,360
541,ECF,MXAN_6461,ECF sigma-70 factor--MXAN_6461--test,330,350
542,ECF,MXAN_6759,ECF sigma-70 factor--MXAN_6759--MXAN_6759-mic6-11.22.13,240,1210
543,ECF,MXAN_6759,ECF sigma-70 factor--MXAN_6759--MXAN_6759-mic8-11.22.13,260,1440
544,ECF,MXAN_6759,ECF sigma-70 factor--MXAN_6759--test,260,1010
545,ECF,MXAN_7214,ECF sigma-70 factor--MXAN_7214--MXAN_7214-mic4-11.21.11,270,410
546,ECF,MXAN_7214,ECF sigma-70 factor--MXAN_7214--MXAN_7214-mic5-11.21.11,280,390
547,ECF,MXAN_7214,ECF sigma-70 factor--MXAN_7214--MXAN_7214-mic7-11.21.11,240,360
548,ECF,MXAN_7214,ECF sigma-70 factor--MXAN_7214--test,300,450
549,ECF,MXAN_7289,ECF sigma-70 factor--MXAN_7289--MXAN_7289-mic4-11.18.11,490,690
550,ECF,MXAN_7289,ECF sigma-70 factor--MXAN_7289--MXAN_7289-mic5-11.18.11,520,700
551,ECF,MXAN_7289,ECF sigma-70 factor--MXAN_7289--MXAN_7289-mic7-11.18.11,540,1330
552,ECF,MXAN_7289,ECF sigma-70 factor--MXAN_7289--test,310,1240
